Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.977989,0.978323,0.978845,0.978074,0.974035,0.974760,0.973228,0.975058,0.972925,0.982367,0.975235,0.975251,0.976641,0.979480,0.976897,0.977666,0.977053
0.978310,0.978224,0.980232,0.978233,0.974097,0.974107,0.974125,0.974384,0.973767,0.978578,0.973624,0.975136,0.977342,0.979162,0.977824,0.976138,0.979555
0.978759,0.978570,0.978498,0.977755,0.974284,0.974515,0.973228,0.971976,0.973078,0.979015,0.974387,0.975828,0.976057,0.980116,0.977333,0.975338,0.977312
0.978117,0.976249,0.978152,0.977516,0.972914,0.973086,0.972629,0.972747,0.973002,0.978286,0.973963,0.975078,0.976758,0.978128,0.976026,0.978467,0.976535
0.977219,0.976002,0.979539,0.977117,0.974035,0.972555,0.970835,0.971880,0.972925,0.976392,0.974218,0.975655,0.975473,0.977094,0.976843,0.974393,0.976104
0.977283,0.976941,0.979712,0.978233,0.973848,0.974229,0.974574,0.974287,0.974379,0.976683,0.974642,0.975828,0.974305,0.979321,0.977497,0.978030,0.975845
0.977219,0.977978,0.977458,0.977436,0.975280,0.972840,0.975322,0.973228,0.975449,0.976829,0.973285,0.975020,0.976407,0.976855,0.978423,0.976648,0.976622
0.976641,0.975607,0.979019,0.975841,0.974782,0.974270,0.971433,0.971880,0.973002,0.977412,0.973030,0.973809,0.975239,0.978366,0.976353,0.977593,0.976794
0.976256,0.978126,0.980059,0.976399,0.975343,0.972840,0.972779,0.973710,0.972925,0.974789,0.972861,0.974155,0.976524,0.977651,0.977333,0.978103,0.975242
0.978631,0.977583,0.975550,0.978552,0.976027,0.974842,0.973826,0.973998,0.975449,0.974643,0.973454,0.975655,0.974772,0.979639,0.976026,0.977812,0.975328
1.00610,0.986569,0.980579,0.984771,0.977646,0.977782,0.982351,0.976599,0.980115,0.974934,0.974302,0.976809,0.979327,0.982820,0.981474,0.979194,0.985162
1.07765,1.04750,1.02376,1.04585,0.988481,0.993710,1.01810,1.00029,1.02356,0.983532,0.992282,0.984943,1.01075,1.00262,0.990301,0.991561,1.05072
1.08548,1.09515,1.10317,1.12319,1.00498,1.03994,1.05923,1.03294,1.08497,1.00058,1.02604,0.995500,1.03831,1.03078,1.00420,1.00429,1.08627
1.07412,1.09214,1.12676,1.13172,1.04602,1.07115,1.06416,1.04497,1.10532,1.02623,1.04775,1.00462,1.03959,1.04494,1.01095,1.00829,1.07945
1.07251,1.08928,1.11444,1.11290,1.09620,1.08103,1.06237,1.04488,1.10011,1.03323,1.05547,1.02365,1.04275,1.04176,1.01700,1.01208,1.06901
1.07816,1.09564,1.10075,1.10692,1.12298,1.08091,1.06401,1.04854,1.10256,1.03104,1.06064,1.05071,1.04625,1.03706,1.02169,1.01622,1.07428
1.07861,1.10355,1.10508,1.10963,1.13300,1.08201,1.06192,1.05431,1.11113,1.01924,1.06420,1.07252,1.05501,1.02132,1.02817,1.02568,1.07600
1.07829,1.10246,1.10473,1.10955,1.12528,1.08111,1.06416,1.05961,1.10922,1.01166,1.06997,1.08411,1.05793,1.00954,1.03618,1.02983,1.07678
1.07835,1.09915,1.10335,1.10756,1.11276,1.08013,1.06536,1.05894,1.10417,1.01151,1.06954,1.08486,1.05758,1.00732,1.04506,1.02728,1.07652
1.07848,1.09476,1.09901,1.10158,1.10293,1.07237,1.06551,1.05643,1.09973,1.01122,1.06361,1.07725,1.04929,1.00597,1.05231,1.02408,1.07764
1.07810,1.08779,1.08878,1.08675,1.08786,1.05975,1.06551,1.04902,1.09078,1.00758,1.05479,1.06288,1.04648,1.00453,1.05476,1.02262,1.07548
1.07624,1.07313,1.07075,1.06450,1.06874,1.04664,1.05220,1.03862,1.07358,1.00612,1.04342,1.04973,1.04146,1.00286,1.05737,1.01855,1.07264
1.07322,1.06133,1.05497,1.04632,1.05442,1.03672,1.04158,1.02802,1.05774,1.00525,1.03460,1.03646,1.03410,1.00215,1.05863,1.01710,1.06755
1.07033,1.05096,1.04352,1.03859,1.04191,1.03120,1.03246,1.02244,1.04214,1.00423,1.02799,1.02833,1.03013,1.00095,1.05639,1.01251,1.06116
1.06488,1.04321,1.03745,1.03086,1.03593,1.02651,1.02752,1.01936,1.03480,1.00510,1.02409,1.02210,1.02686,1.00270,1.05291,1.01302,1.05633
1.05403,1.03570,1.03156,1.02567,1.02939,1.02181,1.02064,1.01714,1.02585,1.00189,1.01917,1.01765,1.02301,0.999364,1.04735,1.01120,1.04814
1.04563,1.03037,1.02514,1.01794,1.02341,1.01768,1.01705,1.01136,1.02294,1.00000,1.01476,1.01488,1.01880,0.996580,1.04157,1.00757,1.04270
1.03562,1.02296,1.02202,1.01228,1.01799,1.01336,1.00972,1.00664,1.01813,0.997960,1.01069,1.01061,1.01565,0.995944,1.03433,1.00611,1.03097
1.02830,1.01896,1.01959,1.00845,1.01569,1.01058,1.00658,1.00684,1.01193,0.995337,1.00755,1.00773,1.01273,0.996103,1.03051,1.00407,1.02924
1.02490,1.01333,1.01595,1.00622,1.01438,1.00968,1.00509,1.00491,1.01101,0.994317,1.00500,1.00473,1.00993,0.994512,1.02681,1.00015,1.02355
1.02079,1.01126,1.01283,1.00462,1.01096,1.00694,1.00284,1.00318,1.00619,0.998106,1.00424,1.00358,1.00829,0.993001,1.02136,1.00138,1.02001
1.01707,1.01086,1.01040,1.00582,1.00940,1.00715,0.999850,1.00241,1.00627,0.994462,1.00390,1.00231,1.00747,0.991490,1.01869,0.998109,1.01492
1.01386,1.01037,1.01075,1.00598,1.00629,1.00404,0.998504,0.999326,1.00291,0.993151,1.00042,1.00012,1.00467,0.992762,1.01635,0.998036,1.01303
1.01033,1.01057,1.01248,1.00287,1.00623,1.00135,0.997158,0.997400,1.00375,0.991256,1.00042,0.999308,1.00058,0.992206,1.01422,0.998545,1.01156
1.01001,1.00864,1.00902,1.00231,1.00579,1.00319,0.997308,0.998363,1.00107,0.990965,1.00051,0.998269,1.00199,0.991569,1.01291,0.997527,1.01242
1.00969,1.00731,1.00815,1.00247,1.00367,1.00257,0.997457,0.997881,1.00184,0.991985,0.999576,1.00023,1.00082,0.989104,1.01308,0.997963,1.01035
1.01251,1.01047,1.01040,1.00327,1.00411,1.00294,1.00030,0.998844,1.00199,0.988196,0.998473,0.997808,1.00035,0.998568,1.01150,0.996508,1.00854
1.05865,1.05333,1.03832,1.03405,1.00735,1.00903,1.01855,1.00799,1.01660,0.996357,1.00254,0.996942,1.01121,1.02076,1.01400,0.997090,1.03330
