Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.973129,0.960338,0.962089,0.967153,0.967095,0.963905,0.952575,0.968957,0.955210,0.968410,0.969310,0.962206,0.968955,0.966426,0.964346,0.967201,0.964701,0.969507,0.963943,0.971665,0.968985,0.968303
0.971648,0.961081,0.961380,0.968141,0.967787,0.965968,0.953150,0.967524,0.955509,0.968858,0.967988,0.961985,0.967338,0.966793,0.963536,0.965853,0.965983,0.970897,0.965133,0.972845,0.968197,0.965978
0.971239,0.959803,0.961168,0.966114,0.964607,0.963676,0.952920,0.967345,0.953658,0.968084,0.967254,0.961014,0.965316,0.966243,0.960700,0.964910,0.962137,0.970827,0.963432,0.967946,0.966804,0.967035
0.969451,0.959981,0.961309,0.964607,0.964054,0.962759,0.955852,0.965853,0.954076,0.966779,0.966226,0.963530,0.964993,0.966365,0.961835,0.965539,0.963077,0.969021,0.963007,0.967769,0.967773,0.965375
0.972005,0.960932,0.961026,0.968349,0.965713,0.964134,0.955507,0.964360,0.955987,0.967554,0.967034,0.961853,0.966125,0.967405,0.962159,0.965359,0.963504,0.970966,0.965388,0.969481,0.965592,0.965556
0.972209,0.963995,0.963719,0.970272,0.968893,0.964363,0.956427,0.967286,0.956703,0.967717,0.968722,0.962956,0.968631,0.969545,0.963536,0.965808,0.965385,0.973814,0.964878,0.977450,0.968379,0.964560
0.972771,0.961319,0.961664,0.968973,0.967648,0.964822,0.953495,0.967644,0.956823,0.968206,0.966520,0.963398,0.965882,0.969239,0.964184,0.964865,0.964274,0.971313,0.964198,0.972550,0.967591,0.966371
0.972107,0.960932,0.960247,0.968557,0.968478,0.964363,0.953035,0.966808,0.953598,0.967106,0.966226,0.962338,0.968065,0.969056,0.963779,0.963652,0.962906,0.972842,0.965218,0.975915,0.966683,0.965375
0.970881,0.960546,0.960813,0.970376,0.965160,0.963561,0.954185,0.967345,0.955210,0.967595,0.966960,0.961853,0.966691,0.968506,0.963374,0.963607,0.961966,0.970549,0.964113,0.974970,0.965774,0.965737
0.972363,0.962062,0.962939,0.969804,0.968754,0.965509,0.954415,0.968062,0.956883,0.967309,0.966593,0.963530,0.968955,0.968689,0.964022,0.965180,0.965897,0.974231,0.965899,0.977096,0.966986,0.966371
0.972312,0.961081,0.961451,0.966686,0.964883,0.964707,0.954702,0.966689,0.955091,0.966739,0.967107,0.963001,0.967418,0.967833,0.962969,0.965719,0.961538,0.972216,0.965558,0.972314,0.966986,0.968001
0.972209,0.958554,0.960105,0.965231,0.965160,0.963676,0.953610,0.966092,0.954315,0.966209,0.965565,0.961588,0.964104,0.966243,0.961916,0.963742,0.962821,0.969299,0.963262,0.969244,0.965714,0.966492
0.971699,0.960189,0.961239,0.965698,0.963915,0.964478,0.954932,0.967286,0.956285,0.965679,0.965859,0.960970,0.966044,0.966915,0.961835,0.965180,0.964103,0.968396,0.963262,0.968949,0.966622,0.965254
0.970881,0.962092,0.964286,0.966946,0.967234,0.966426,0.955737,0.966450,0.954972,0.967799,0.966814,0.963530,0.967338,0.969056,0.963941,0.965090,0.963675,0.972633,0.964793,0.971547,0.966077,0.967065
0.971494,0.960903,0.961735,0.966166,0.965713,0.966197,0.955622,0.966689,0.954374,0.967187,0.966593,0.962603,0.964104,0.967955,0.962726,0.964865,0.962393,0.969855,0.965133,0.965230,0.965895,0.968907
0.971750,0.964560,0.964711,0.967777,0.970275,0.972041,0.955852,0.967883,0.954972,0.967106,0.967695,0.963795,0.969197,0.968506,0.963617,0.966348,0.964188,0.972842,0.965558,0.969008,0.969772,0.969541
0.980077,0.981031,0.979946,0.974586,0.976220,1.00596,0.960508,0.974748,0.963273,0.969633,0.969897,0.968652,0.994502,0.972847,0.981606,0.972997,0.969573,0.975967,0.969215,0.971547,0.987764,0.978144
1.01073,1.03678,1.04592,0.993348,0.994332,1.04366,0.981088,1.00185,1.00119,0.986019,0.990455,0.983929,1.07066,0.982204,1.01872,1.00786,0.980171,0.988122,0.980270,0.981051,1.03659,0.998974
1.04679,1.07365,1.11508,1.02193,1.02419,1.09362,1.01805,1.04239,1.03595,1.02058,1.02372,1.00102,1.10575,0.995536,1.04270,1.05176,1.00026,1.00820,0.998214,0.991263,1.06124,1.02952
1.06738,1.08896,1.15207,1.05847,1.06000,1.12066,1.03622,1.07253,1.05208,1.05071,1.05529,1.01607,1.09532,1.01303,1.05761,1.07054,1.02547,1.02584,1.01973,1.00927,1.05924,1.05392
1.07234,1.09092,1.15597,1.08243,1.08848,1.12284,1.03455,1.08483,1.05202,1.06444,1.06791,1.02534,1.07697,1.03198,1.06215,1.07355,1.04051,1.02751,1.03104,1.01812,1.04592,1.06774
1.07530,1.08768,1.14746,1.09324,1.10494,1.10863,1.02662,1.08782,1.04539,1.06942,1.07195,1.03563,1.06872,1.04678,1.06053,1.07094,1.04778,1.01424,1.03767,1.02096,1.03768,1.07689
1.07796,1.08155,1.13747,1.09807,1.11669,1.09889,1.02150,1.09420,1.04192,1.07639,1.07562,1.04481,1.06573,1.05987,1.06126,1.06987,1.05436,1.00160,1.04490,1.02556,1.04047,1.08703
1.07796,1.07733,1.12670,1.09927,1.12070,1.09018,1.01690,1.09731,1.04246,1.08417,1.07988,1.05334,1.06541,1.06635,1.06393,1.07103,1.06214,1.00382,1.05119,1.03453,1.04168,1.09096
1.06886,1.07409,1.11579,1.09563,1.11392,1.07654,1.01558,1.09307,1.04186,1.08503,1.07695,1.05289,1.06395,1.06862,1.06272,1.07162,1.06231,1.00215,1.05085,1.03754,1.04083,1.08413
1.05298,1.06752,1.09418,1.07110,1.08669,1.05661,1.00655,1.08328,1.03774,1.07948,1.06535,1.04556,1.05667,1.06177,1.05915,1.06456,1.05342,0.998402,1.04244,1.03034,1.03562,1.06810
1.03612,1.05542,1.06278,1.04444,1.05350,1.02830,0.997241,1.05982,1.02562,1.06530,1.03957,1.03073,1.04649,1.03620,1.04619,1.05194,1.03197,0.991665,1.02679,1.01505,1.02902,1.04522
1.02166,1.04374,1.03203,1.02287,1.02502,1.00814,0.979995,1.03445,1.01469,1.04834,1.01681,1.01316,1.03937,1.01614,1.03598,1.03824,1.01564,0.984858,1.01174,1.00413,1.02350,1.02684
1.01206,1.03241,1.01276,1.00759,1.01009,0.997594,0.971315,1.01516,1.00012,1.03126,1.00125,1.00141,1.02935,1.00257,1.02552,1.02130,1.00376,0.981802,0.998894,0.994982,1.01284,1.01099
1.00276,1.02084,1.00064,0.996934,0.998617,0.988541,0.964360,1.00215,0.988594,1.01724,0.988840,0.992892,1.02070,0.992111,1.01426,1.00899,0.991966,0.975411,0.990646,0.985832,1.00685,1.00109
0.998263,1.01094,0.992134,0.989658,0.989493,0.983385,0.961255,0.995164,0.979695,1.00571,0.983847,0.986843,1.01067,0.984528,1.00324,0.996765,0.984701,0.971869,0.985968,0.978276,0.999091,0.992212
0.993563,1.00226,0.987528,0.984408,0.986451,0.979374,0.957634,0.988180,0.976172,0.996087,0.981131,0.980706,1.00485,0.981531,0.995786,0.991329,0.981453,0.970619,0.980441,0.977804,0.993821,0.988076
