Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.979825,0.969524,0.970869,0.973822,0.973221,0.975839,0.969775,0.970430,0.971133,0.970382,0.972497,0.967993,0.976321,0.971261,0.967499,0.970792,0.972162,0.976218,0.970461,0.969258,0.972355,0.975072
0.978548,0.969015,0.968693,0.971456,0.972102,0.973593,0.969009,0.970786,0.970145,0.970170,0.971710,0.966631,0.976891,0.970435,0.966048,0.970085,0.969069,0.975046,0.969110,0.968581,0.971241,0.973579
0.978150,0.970278,0.969609,0.972384,0.973850,0.974382,0.970510,0.970107,0.970803,0.969299,0.972580,0.967500,0.975026,0.971161,0.966967,0.971263,0.972208,0.977472,0.969966,0.970172,0.972395,0.974541
0.978775,0.970540,0.969418,0.974062,0.973920,0.974322,0.970816,0.969946,0.971425,0.969723,0.974237,0.967640,0.975855,0.972417,0.966676,0.969496,0.972208,0.976987,0.968795,0.969122,0.971957,0.974641
0.977441,0.970098,0.967509,0.972414,0.972451,0.971893,0.969407,0.969558,0.969633,0.969464,0.972539,0.967265,0.974404,0.971690,0.967692,0.969320,0.970315,0.976138,0.968345,0.968005,0.971957,0.974309
0.977469,0.970344,0.969533,0.973133,0.973640,0.974443,0.971092,0.970947,0.970035,0.970146,0.973036,0.968368,0.974508,0.971723,0.967934,0.969643,0.971839,0.978807,0.970641,0.971018,0.971321,0.974209
0.976022,0.971541,0.970449,0.974870,0.974199,0.975354,0.972133,0.970883,0.972047,0.970217,0.973491,0.968110,0.974767,0.973408,0.968127,0.970792,0.973824,0.978160,0.969966,0.971966,0.970803,0.973944
0.973866,0.969753,0.972205,0.972324,0.972941,0.973593,0.972286,0.969946,0.971499,0.968404,0.970923,0.967711,0.971917,0.971723,0.966144,0.966199,0.970408,0.974075,0.968029,0.967836,0.969690,0.971122
0.973440,0.971065,0.973122,0.971036,0.970494,0.970801,0.971919,0.968847,0.970291,0.967133,0.970840,0.968016,0.972383,0.968948,0.964597,0.967288,0.970500,0.972538,0.969561,0.970714,0.969252,0.970857
0.974376,0.972263,0.976290,0.973552,0.972591,0.973897,0.972439,0.971885,0.973547,0.968310,0.971545,0.969002,0.975233,0.969906,0.966193,0.967847,0.971516,0.972983,0.970101,0.972440,0.972315,0.973413
0.976987,0.971639,0.975832,0.974421,0.972172,0.974807,0.970663,0.971238,0.971242,0.968498,0.971876,0.969026,0.974767,0.971029,0.965999,0.967641,0.971054,0.972821,0.970236,0.969732,0.971878,0.974143
0.975171,0.968966,0.970754,0.970887,0.970494,0.972561,0.967907,0.968427,0.967693,0.967510,0.970178,0.968228,0.973627,0.969345,0.966241,0.966758,0.969023,0.970839,0.968930,0.965838,0.970485,0.971653
0.975057,0.968424,0.969495,0.972983,0.972661,0.971165,0.966896,0.968621,0.968791,0.968428,0.969474,0.967852,0.972850,0.969411,0.965467,0.967200,0.970085,0.971891,0.968615,0.968750,0.970446,0.970558
0.977498,0.969704,0.970640,0.973612,0.972731,0.972986,0.966253,0.969041,0.970730,0.968545,0.969639,0.968415,0.974041,0.972186,0.967063,0.969526,0.973455,0.975126,0.968255,0.974370,0.970366,0.973645
0.975937,0.967604,0.968005,0.970138,0.970494,0.971651,0.966314,0.967554,0.966962,0.967015,0.969184,0.966983,0.972643,0.970534,0.965564,0.966405,0.969069,0.970637,0.967624,0.968479,0.969372,0.971355
0.973866,0.965652,0.966707,0.968940,0.967977,0.970558,0.965212,0.966552,0.966449,0.965132,0.968438,0.964611,0.970777,0.968684,0.962759,0.965404,0.969253,0.968574,0.966183,0.965838,0.967820,0.969297
0.974603,0.965899,0.966555,0.970438,0.969305,0.970801,0.964814,0.966843,0.967437,0.965296,0.967568,0.965316,0.972643,0.969312,0.964693,0.966758,0.968376,0.972659,0.965373,0.968412,0.968417,0.969861
0.975256,0.967112,0.966746,0.971456,0.969864,0.971347,0.966866,0.967522,0.969194,0.965579,0.969515,0.965457,0.972798,0.969444,0.964210,0.967288,0.970269,0.973832,0.965733,0.971662,0.967383,0.971089
0.973809,0.963290,0.964417,0.966993,0.965110,0.967826,0.963344,0.964937,0.963632,0.964213,0.967982,0.963273,0.969171,0.965612,0.959905,0.963784,0.964868,0.968129,0.965418,0.962419,0.965632,0.968633
0.973468,0.963602,0.963500,0.967173,0.966998,0.968676,0.963436,0.965389,0.964108,0.963036,0.967113,0.963014,0.970725,0.965909,0.959712,0.964402,0.965237,0.968615,0.963256,0.963028,0.965951,0.970392
0.974547,0.964767,0.964569,0.968011,0.967837,0.970194,0.964232,0.965066,0.967547,0.964849,0.968065,0.963038,0.973005,0.969047,0.961695,0.965786,0.968930,0.972012,0.964247,0.966075,0.967423,0.970193
0.975313,0.965095,0.965257,0.968161,0.968466,0.969708,0.965120,0.966003,0.967986,0.965179,0.967900,0.963108,0.970725,0.968981,0.962855,0.965610,0.968561,0.973670,0.966048,0.967396,0.967383,0.969330
0.972504,0.961913,0.961477,0.965675,0.964271,0.967219,0.962517,0.964096,0.962279,0.961506,0.965332,0.960384,0.967461,0.965480,0.957293,0.962400,0.963667,0.966754,0.962581,0.958999,0.963723,0.968467
0.971908,0.962421,0.962508,0.966634,0.963851,0.968251,0.962119,0.963644,0.962937,0.962801,0.966491,0.960807,0.969171,0.966999,0.960002,0.962871,0.964822,0.969626,0.962671,0.962893,0.964956,0.968898
0.972759,0.963963,0.963691,0.968880,0.966019,0.967948,0.963130,0.965228,0.966449,0.963366,0.967113,0.960689,0.970570,0.968387,0.961018,0.964491,0.967499,0.972983,0.963797,0.967734,0.964280,0.967969
0.973043,0.963143,0.963500,0.967053,0.966368,0.968190,0.961690,0.964872,0.964218,0.963272,0.965829,0.961089,0.968860,0.965546,0.959954,0.963225,0.964637,0.971325,0.962896,0.964010,0.965036,0.967239
0.971113,0.961027,0.959835,0.963968,0.963012,0.965337,0.960404,0.961867,0.960522,0.960800,0.963468,0.960384,0.965389,0.962738,0.957197,0.959191,0.960759,0.965015,0.959429,0.957171,0.962729,0.964517
0.971227,0.961240,0.960751,0.965436,0.965180,0.967583,0.961292,0.963030,0.962644,0.961506,0.963716,0.960830,0.968705,0.964257,0.958648,0.962076,0.962836,0.969505,0.959519,0.963435,0.963723,0.966442
0.971255,0.963996,0.964646,0.969539,0.966788,0.968555,0.963773,0.964775,0.966852,0.963225,0.965124,0.961183,0.968756,0.967891,0.960679,0.963519,0.967822,0.974884,0.963031,0.968107,0.965513,0.968931
0.970659,0.961634,0.962737,0.964867,0.966229,0.968858,0.961905,0.961931,0.961181,0.960776,0.964876,0.960807,0.966995,0.964654,0.957971,0.960869,0.962975,0.968777,0.961365,0.960015,0.963962,0.966210
0.969836,0.963996,0.965333,0.966214,0.968816,0.980028,0.961476,0.964258,0.960888,0.960917,0.965249,0.961958,0.969016,0.964720,0.961791,0.961370,0.963483,0.966714,0.960780,0.959609,0.964877,0.966409
0.978491,1.00326,1.00294,0.980681,0.985317,1.03782,0.966070,0.983745,0.974352,0.967368,0.970840,0.968721,1.00005,0.969378,0.992552,0.970203,0.969854,0.974641,0.964472,0.966786,0.988146,0.971388
1.00494,1.03996,1.09312,1.00305,1.00489,1.05901,0.987108,1.02886,1.01800,0.989688,1.00050,0.971820,1.04466,0.971228,1.01374,0.995907,0.976271,0.982649,0.969786,0.967260,1.00278,0.983337
1.02233,1.00559,1.12256,1.04073,1.05006,1.09500,1.00649,1.05109,1.01643,1.00932,1.02812,0.972642,1.03528,0.973705,0.995937,1.00012,0.988874,0.993852,0.984780,0.963875,0.991010,1.00086
