Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.968986,0.975293,0.972858,0.971729,0.974034,0.971618,0.975673,0.973243,0.974610,0.974128,0.972681,0.971517,0.971633,0.974392,0.975972,0.975545,0.969991,0.975345,0.972990
0.968008,0.974409,0.972248,0.972870,0.974153,0.971852,0.974850,0.973758,0.974801,0.973925,0.973531,0.970584,0.971360,0.974301,0.974482,0.973957,0.971202,0.975467,0.974768
0.969875,0.976219,0.974688,0.975548,0.976654,0.974731,0.975920,0.974444,0.977219,0.976517,0.975689,0.974187,0.975784,0.976612,0.977788,0.978933,0.973086,0.976871,0.977093
0.971608,0.980638,0.979698,0.981748,0.980049,0.978513,0.982135,0.976845,0.985682,0.980075,0.979761,0.989065,0.987441,0.981145,0.984400,0.994283,0.983044,0.979617,0.980101
0.977073,0.993560,1.00100,1.00967,0.995950,0.985642,0.995431,0.988165,1.00783,0.986835,0.985261,1.01149,1.00998,0.992839,0.998277,1.03822,1.01077,0.993592,0.991179
0.985471,1.02319,1.04143,1.03730,1.03323,1.00318,1.02252,1.01309,1.03563,0.993901,0.993922,1.00920,1.00619,1.00471,1.03050,1.07178,1.03849,1.02600,1.02243
0.991780,1.04335,1.05446,1.02247,1.03484,1.01868,1.04227,1.03385,1.04607,1.00442,1.00599,1.00555,0.998868,1.00839,1.06035,1.06098,1.04468,1.03167,1.03337
1.00093,1.04605,1.03786,1.00739,1.01858,1.02162,1.03503,1.02687,1.04766,1.01576,1.01529,1.00466,0.999937,1.00771,1.06347,1.04552,1.04252,1.01440,1.01600
1.00618,1.03877,1.02488,1.00600,1.01084,1.01938,1.02235,1.01281,1.04213,1.02516,1.01884,1.00093,0.997757,1.00490,1.04810,1.03843,1.03566,1.00024,0.997538
1.01093,1.03595,1.02706,1.00784,1.01161,1.01894,1.01955,1.00600,1.03901,1.02999,1.02012,1.00004,0.998050,1.00258,1.03562,1.03822,1.03310,0.988832,0.986187
1.01089,1.03355,1.02762,1.00853,1.01233,1.01580,1.01968,1.00732,1.03500,1.02775,1.01659,0.998389,0.995660,1.00245,1.03022,1.03906,1.02907,0.981387,0.981059
1.00484,1.03123,1.02692,1.00927,1.01084,1.01094,1.01939,1.00726,1.03105,1.01845,1.01082,0.999067,0.996184,0.999592,1.02459,1.03599,1.02516,0.979922,0.979486
0.997112,1.02189,1.02218,1.00803,1.00786,1.00218,1.01400,1.00543,1.02469,1.00834,1.00331,0.998432,0.995639,0.994878,1.01979,1.02752,1.01601,0.978518,0.976477
0.988803,1.00905,1.01259,1.00372,1.00465,0.997322,1.00239,0.998456,1.01171,0.999644,0.996201,0.997330,0.994654,0.989621,1.01448,1.01916,1.00242,0.976626,0.976682
0.983382,0.996927,1.00205,0.998016,0.996784,0.992068,0.992797,0.992625,1.00255,0.992223,0.990822,0.996016,0.992599,0.984998,1.00750,1.00868,0.991522,0.976199,0.975862
0.978850,0.989730,0.993465,0.991023,0.992020,0.987482,0.988516,0.987880,0.995100,0.988055,0.987814,0.992752,0.989517,0.981281,1.00186,1.00243,0.987081,0.975467,0.975657
0.977295,0.985731,0.989980,0.987204,0.988506,0.985675,0.985099,0.984392,0.990710,0.985412,0.986264,0.989997,0.986498,0.982459,0.996834,0.995765,0.980622,0.976138,0.975793
0.974718,0.981438,0.985100,0.981996,0.983622,0.981525,0.982588,0.979304,0.988610,0.982820,0.981676,0.983936,0.981319,0.978199,0.991385,0.991425,0.982102,0.975345,0.974973
0.973118,0.980596,0.982530,0.980557,0.980763,0.979617,0.981353,0.977246,0.984283,0.980126,0.980673,0.981605,0.978782,0.976794,0.987846,0.988567,0.977796,0.974735,0.973400
0.970497,0.978365,0.979044,0.977086,0.979036,0.976270,0.979625,0.976845,0.982183,0.978195,0.977087,0.977578,0.975491,0.973712,0.983795,0.984014,0.978199,0.972476,0.972579
0.970097,0.978365,0.979218,0.979218,0.981597,0.977877,0.979378,0.975816,0.983646,0.979008,0.978302,0.977960,0.976749,0.975842,0.982305,0.985814,0.976315,0.974002,0.974221
0.968764,0.976303,0.976779,0.975945,0.978143,0.976270,0.977896,0.973930,0.980783,0.977737,0.976874,0.975713,0.974107,0.973712,0.981001,0.980733,0.974835,0.972904,0.973332
0.968675,0.976176,0.975297,0.974903,0.977428,0.974831,0.976332,0.974215,0.979510,0.976161,0.976054,0.974187,0.972786,0.973122,0.978254,0.979462,0.973355,0.971744,0.973195
